OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00087911,UN1,Urban: Nearer to a major town or city,Urban,82984
E00087699,RSF1,Smaller rural: Further from a major town or city,Rural,82985
E00087912,RSN1,Smaller rural: Nearer to a major town or city,Rural,82986
E00087700,RSF1,Smaller rural: Further from a major town or city,Rural,82987
E00087913,RLN1,Larger rural: Nearer to a major town or city,Rural,82988
E00087701,RLF1,Larger rural: Further from a major town or city,Rural,82989
E00087914,RLN1,Larger rural: Nearer to a major town or city,Rural,82990
E00087702,RLF1,Larger rural: Further from a major town or city,Rural,82991
E00087915,RSN1,Smaller rural: Nearer to a major town or city,Rural,82992
E00087703,RLF1,Larger rural: Further from a major town or city,Rural,82993
E00087916,RLN1,Larger rural: Nearer to a major town or city,Rural,82994
E00087704,RLF1,Larger rural: Further from a major town or city,Rural,82995
E00087917,RLN1,Larger rural: Nearer to a major town or city,Rural,82996
E00087649,UF1,Urban: Further from a major town or city,Urban,82997
E00087705,RLF1,Larger rural: Further from a major town or city,Rural,82998
E00087918,RLN1,Larger rural: Nearer to a major town or city,Rural,82999
E00087650,UF1,Urban: Further from a major town or city,Urban,83000
E00087706,RLF1,Larger rural: Further from a major town or city,Rural,83001
E00087919,RLN1,Larger rural: Nearer to a major town or city,Rural,83002
E00087651,UF1,Urban: Further from a major town or city,Urban,83003
E00087707,RLF1,Larger rural: Further from a major town or city,Rural,83004
E00087920,RSN1,Smaller rural: Nearer to a major town or city,Rural,83005
E00087652,UF1,Urban: Further from a major town or city,Urban,83006
E00087708,RSF1,Smaller rural: Further from a major town or city,Rural,83007
E00087921,RSN1,Smaller rural: Nearer to a major town or city,Rural,83008
E00087922,RSN1,Smaller rural: Nearer to a major town or city,Rural,83009
E00087923,RSN1,Smaller rural: Nearer to a major town or city,Rural,83010
E00087924,RLN1,Larger rural: Nearer to a major town or city,Rural,83011
E00087925,RLN1,Larger rural: Nearer to a major town or city,Rural,83012
E00087926,RLN1,Larger rural: Nearer to a major town or city,Rural,83013
E00087927,RLN1,Larger rural: Nearer to a major town or city,Rural,83014
E00087929,RSN1,Smaller rural: Nearer to a major town or city,Rural,83015
E00087930,RSN1,Smaller rural: Nearer to a major town or city,Rural,83016
E00087931,RSN1,Smaller rural: Nearer to a major town or city,Rural,83017
E00087932,RSN1,Smaller rural: Nearer to a major town or city,Rural,83018
E00087933,RSN1,Smaller rural: Nearer to a major town or city,Rural,83019
E00087934,RLN1,Larger rural: Nearer to a major town or city,Rural,83020
E00087935,RSN1,Smaller rural: Nearer to a major town or city,Rural,83021
E00087936,RLN1,Larger rural: Nearer to a major town or city,Rural,83022
E00087994,RSN1,Smaller rural: Nearer to a major town or city,Rural,83023
E00087779,UN1,Urban: Nearer to a major town or city,Urban,83024
E00087725,RSF1,Smaller rural: Further from a major town or city,Rural,83025
E00087709,RSF1,Smaller rural: Further from a major town or city,Rural,83026
E00087710,RLF1,Larger rural: Further from a major town or city,Rural,83027
E00087711,RLF1,Larger rural: Further from a major town or city,Rural,83028
E00087712,RSF1,Smaller rural: Further from a major town or city,Rural,83029
